Global Education ,,,,,
UNIT SIX ,,,,,
Word / Phrase ,Translation ,Part of Speech ,Phonetic Spelling ,Definition ,Sample Sentence 
activity ,Mashg’ulot ,noun [count.] ,/ækˈtɪvəti/ ,something that you ,What activities do you 
,,,,do because you enjoy ,do everyday? 
,,,,it or because it is ,
,,,,interesting ,
always ,Har doim ,adverb ,/ˈɔːlweɪz/ ,on every occasion ,I always play football 
,,,,,at the weekend. 
apple ,Olma ,noun [count.] ,/ˈæp(ə)l/ ,a hard round fruit that ,An apple is a type of 
,,,,is white inside and has ,fruit. 
,,,,"a smooth red, yellow, ",
,,,,or green skin ,
assignment ,"Topshiriq, vazifa",noun [count./ ,/əˈsaɪnmənt/ ,work that you must ,I check my 
,,uncount.] ,,do as part of a course ,assignments for 
,,,,of study or as part of ,mistakes. 
,,,,your job ,
aubergine ,Baqlajon ,noun [count.] ,/ˈəʊbə(r)ˌʒiːn/ ,a vegetable with a ,Aubergine is a 
,,,,smooth dark purple ,popular vegetable in 
,,,,skin and white flesh ,vegetarian dishes. 
banana ,Banan ,noun [count./ ,/bəˈnɑːnə/ ,a long curved fruit ,Jim always has a 
,,uncount.] ,,with a yellow skin ,banana at 11.00am. 
bath ,Hammom ,noun [count.] ,/bɑːθ/ ,the process of ,I take a bath every 
,,,,washing yourself in a ,night. 
,,,,bathtub ,
black ,Qora ,adjective ,/blæk/ ,having the darkest ,My laptop is black. 
,,,,colour like the sky at ,
,,,,night when there is no ,
,,,,light ,
blog ,Blog ,noun [count.] ,/blɒɡ/ ,a biographical web ,I write a daily blog. 
,,,,log: a type of diary ,
,,,,(=record of what ,
,,,,someone does each ,
,,,,day) on a website ,
,,,,that is changed ,
,,,,"regularly, to give ",
,,,,the latest news. The ,
,,,,page usually contains ,
,,,,someone’s personal ,
,,,,"opinions, comments ",
,,,,and experiences ,
blue ,Ko’k ,adjective ,/bluː/ ,something that is blue ,Blue is the colour of 
,,,,is the same colour ,the sky. 
,,,,as the sky on a clear ,
,,,,sunny day ,
blueberry ,Golubika ,noun [count.] ,/ˈbluːb(ə)ri/ ,a small dark-blue fruit ,I love blueberries in a 
,,,,that grows on a bush ,fruit salad. 
,,,,and is very common in ,
,,,,North America ,
bottled water ,Shisha suv ,noun [uncount.] ,/ˈbɒt(ə)ld ,water sold in a bottle ,She likes bottled 
,,,wɔːtə(r)/ ,,water. 
Global Education ,,,,,
Word / Phrase ,Translation ,Part of Speech ,Phonetic Spelling ,Definition ,Sample Sentence 
bread ,Non ,noun [uncount.] ,/bred/ ,a common food made ,William has tomato 
,,,,from flour and water ,soup and bread for 
,,,,,lunch. 
breakfast ,Nonushta ,noun [count./ ,/ˈbrekfəst/ ,the first meal you have ,I have eggs for 
,,uncount.] ,,in the morning ,breakfast. 
broccoli ,Brokkoli ,noun [uncount.] ,/ˈbrɒkəli/ ,a vegetable consisting ,Broccoli is a very 
,,,,of green stems with ,healthy vegetable. 
,,,,many small green or ,
,,,,purple buds on the ,
,,,,ends ,
brown ,Jigarrang,adjective ,/braʊn/ ,something that is ,Susan has got brown 
,,,,brown is the same ,eyes. 
,,,,colour as wood or ,
,,,,coffee ,
burger ,Burger ,noun [count.] ,/ˈbɜː(r)ɡə(r)/ ,a food made by ,They like burgers. 
,,,,pressing meat into a ,
,,,,flat shape ,
carrot ,Sabzi ,noun [count./ ,/ˈkærət/ ,a long hard orange ,I like grated carrot in 
,,uncount.] ,,vegetable that grows ,a salad. 
,,,,under the ground and ,
,,,,has green leaves on ,
,,,,its top ,
cereal ,"Kasha, bo’tqa ",noun [count./ ,/ˈsɪəriəl/ ,a food made from ,I have cereal for 
,,uncount.] ,,grain and eaten with ,breakfast. 
,,,,milk for breakfast ,
check email ,Electron pochtani,phrase ,/ˌtʃek ˈiːmeɪl/ ,to look and see if you ,My mother checks her 
,tekshirmoq ,,,have any new email ,email every day. 
,,,,messages ,
cherry ,Gilos ,noun [count.] ,/ˈtʃeri/ ,a small round red or ,I like cherry pie and 
,,,,black fruit ,ice cream for dessert. 
chicken ,Tovuq ,noun [uncount.] ,/ˈtʃɪkɪn/ ,the meat of a chicken ,He doesn’t like 
,,,,(a type of bird kept for ,chicken. 
,,,,eggs and meat) ,
coffee ,Kofe ,noun [uncount.] ,/ˈkɒfi/ ,a hot slightly bitter ,She drinks coffee 
,,,,drink made by ,at the café with her 
,,,,pouring hot water ,friends. 
,,,,over brown powder ,
,,,,made from coffee ,
,,,,beans ,
(sweet)corn ,Shirin jo’xori ,noun [uncount.] ,/ˈswiːtˌkɔː(r)n/ ,the small yellow seeds ,Sweetcorn served with 
,,,,of some types of ,butter is tasty. 
,,,,maize plant that are ,
,,,,cooked and eaten as a ,
,,,,vegetable ,
daily ,Har kunlik ,adjective ,/ˈdeɪli/ ,done or happening ,This is my daily 
,,,,every day ,schedule. 
delicious ,Mazali ,adjective ,/dɪˈlɪʃəs/ ,with a very pleasant ,This fruit salad is 
,,,,taste or smell ,delicious. 
dessert ,Desert ,noun [count./ ,/dɪˈzɜː(r)t/ ,sweet food that you ,Apple pie is my 
,,uncount.] ,,eat after the main part ,favourite dessert. 
,,,,of a meal ,
diary ,Kundalik ,noun [count.] ,/ˈdaɪəri/ ,a book in which you ,I write in my diary 
,,,,write your experiences ,every evening. 
,,,,each day ,
